"Time","HLT_mu25_mucombTag_L1MU20VFC"
2023-04-30 09:10:28,0
2023-04-30 10:54:01,0
2023-04-30 10:59:28,13.3
2023-04-30 11:04:55,72.5
2023-04-30 11:10:22,148
2023-04-30 11:15:49,170
2023-04-30 11:21:16,124
2023-04-30 11:26:43,112
2023-04-30 11:32:10,117
2023-04-30 11:37:37,227
2023-04-30 11:43:04,260
2023-04-30 11:48:31,207
2023-04-30 11:53:58,267
2023-04-30 11:59:25,105
2023-04-30 12:04:52,230
2023-04-30 12:10:19,310
2023-04-30 12:15:46,302
2023-04-30 12:21:13,299
2023-04-30 12:26:40,268
2023-04-30 12:32:07,383
2023-04-30 12:37:34,411
2023-04-30 12:43:01,383
2023-04-30 12:48:28,387
2023-04-30 12:53:55,354
2023-04-30 12:59:22,371
2023-04-30 13:04:49,376
2023-04-30 13:10:16,366
2023-04-30 13:15:43,355
2023-04-30 13:21:10,350
2023-04-30 13:26:37,361
2023-04-30 13:32:04,385
2023-04-30 13:37:31,372
2023-04-30 13:42:58,367
2023-04-30 13:48:25,358
2023-04-30 13:53:52,349
2023-04-30 13:59:19,358
2023-04-30 14:04:46,378
2023-04-30 14:10:13,369
2023-04-30 14:15:40,359
2023-04-30 14:21:07,342
2023-04-30 14:26:34,343
2023-04-30 14:32:01,338
2023-04-30 14:37:28,328
2023-04-30 14:42:55,321
2023-04-30 14:48:22,318
2023-04-30 14:53:49,316
2023-04-30 14:59:16,308
2023-04-30 15:04:43,302
2023-04-30 15:10:10,298
2023-04-30 15:15:37,293
2023-04-30 15:21:04,288
2023-04-30 15:26:31,290
2023-04-30 15:31:58,310
2023-04-30 15:37:25,316
2023-04-30 15:42:52,305
2023-04-30 15:48:19,304
2023-04-30 15:53:46,297
2023-04-30 15:59:13,290
2023-04-30 16:04:40,284
2023-04-30 16:10:07,271
2023-04-30 16:15:34,271
2023-04-30 16:21:01,266
2023-04-30 16:26:28,260
2023-04-30 16:31:55,255
2023-04-30 16:37:22,248
2023-04-30 16:42:49,243
2023-04-30 16:48:16,236
2023-04-30 16:53:43,231
2023-04-30 16:59:10,222
2023-04-30 17:04:37,219
2023-04-30 17:10:04,216
2023-04-30 17:15:31,211
2023-04-30 17:20:58,207
2023-04-30 17:26:25,201
2023-04-30 17:31:52,177
2023-04-30 17:37:19,183
2023-04-30 17:42:46,192
2023-04-30 17:48:13,187
2023-04-30 17:53:40,190
2023-04-30 17:59:07,216
2023-04-30 18:04:34,212
2023-04-30 18:10:01,210
2023-04-30 18:15:28,195
2023-04-30 18:20:55,83.7
