"Time","HLT_mu30_mucombTag_L1MU20VFC"
2023-04-30 09:10:28,0
2023-04-30 10:54:01,0
2023-04-30 10:59:28,10.4
2023-04-30 11:04:55,57.1
2023-04-30 11:10:22,117
2023-04-30 11:15:49,135
2023-04-30 11:21:16,99.0
2023-04-30 11:26:43,89.6
2023-04-30 11:32:10,94.3
2023-04-30 11:37:37,184
2023-04-30 11:43:04,210
2023-04-30 11:48:31,168
2023-04-30 11:53:58,219
2023-04-30 11:59:25,85.3
2023-04-30 12:04:52,189
2023-04-30 12:10:19,255
2023-04-30 12:15:46,248
2023-04-30 12:21:13,245
2023-04-30 12:26:40,220
2023-04-30 12:32:07,315
2023-04-30 12:37:34,337
2023-04-30 12:43:01,315
2023-04-30 12:48:28,317
2023-04-30 12:53:55,290
2023-04-30 12:59:22,304
2023-04-30 13:04:49,307
2023-04-30 13:10:16,299
2023-04-30 13:15:43,291
2023-04-30 13:21:10,287
2023-04-30 13:26:37,295
2023-04-30 13:32:04,316
2023-04-30 13:37:31,305
2023-04-30 13:42:58,301
2023-04-30 13:48:25,293
2023-04-30 13:53:52,286
2023-04-30 13:59:19,293
2023-04-30 14:04:46,309
2023-04-30 14:10:13,302
2023-04-30 14:15:40,294
2023-04-30 14:21:07,280
2023-04-30 14:26:34,281
2023-04-30 14:32:01,277
2023-04-30 14:37:28,268
2023-04-30 14:42:55,263
2023-04-30 14:48:22,260
2023-04-30 14:53:49,259
2023-04-30 14:59:16,252
2023-04-30 15:04:43,247
2023-04-30 15:10:10,244
2023-04-30 15:15:37,240
2023-04-30 15:21:04,236
2023-04-30 15:26:31,237
2023-04-30 15:31:58,254
2023-04-30 15:37:25,257
2023-04-30 15:42:52,248
2023-04-30 15:48:19,248
2023-04-30 15:53:46,242
2023-04-30 15:59:13,236
2023-04-30 16:04:40,231
2023-04-30 16:10:07,221
2023-04-30 16:15:34,220
2023-04-30 16:21:01,216
2023-04-30 16:26:28,211
2023-04-30 16:31:55,207
2023-04-30 16:37:22,201
2023-04-30 16:42:49,197
2023-04-30 16:48:16,191
2023-04-30 16:53:43,187
2023-04-30 16:59:10,181
2023-04-30 17:04:37,177
2023-04-30 17:10:04,175
2023-04-30 17:15:31,171
2023-04-30 17:20:58,168
2023-04-30 17:26:25,163
2023-04-30 17:31:52,143
2023-04-30 17:37:19,149
2023-04-30 17:42:46,155
2023-04-30 17:48:13,151
2023-04-30 17:53:40,154
2023-04-30 17:59:07,174
2023-04-30 18:04:34,171
2023-04-30 18:10:01,170
2023-04-30 18:15:28,157
2023-04-30 18:20:55,67.1
