"Time","HLT_mu10_mucombTag_L1MU20VFC"
2023-04-30 09:10:28,0
2023-04-30 10:54:01,0
2023-04-30 10:59:28,77.9
2023-04-30 11:04:55,407
2023-04-30 11:10:22,791
2023-04-30 11:15:49,872
2023-04-30 11:21:16,610
2023-04-30 11:26:43,513
2023-04-30 11:32:10,509
2023-04-30 11:37:37,917
2023-04-30 11:43:04,1004
2023-04-30 11:48:31,760
2023-04-30 11:53:58,943
2023-04-30 11:59:25,363
2023-04-30 12:04:52,763
2023-04-30 12:10:19,1022
2023-04-30 12:15:46,996
2023-04-30 12:21:13,999
2023-04-30 12:26:40,896
2023-04-30 12:32:07,1265
2023-04-30 12:37:34,1355
2023-04-30 12:43:01,1268
2023-04-30 12:48:28,1288
2023-04-30 12:53:55,1188
2023-04-30 12:59:22,1223
2023-04-30 13:04:49,1237
2023-04-30 13:10:16,1211
2023-04-30 13:15:43,1177
2023-04-30 13:21:10,1166
2023-04-30 13:26:37,1200
2023-04-30 13:32:04,1260
2023-04-30 13:37:31,1224
2023-04-30 13:42:58,1212
2023-04-30 13:48:25,1191
2023-04-30 13:53:52,1166
2023-04-30 13:59:19,1189
2023-04-30 14:04:46,1242
2023-04-30 14:10:13,1221
2023-04-30 14:15:40,1196
2023-04-30 14:21:07,1150
2023-04-30 14:26:34,1155
2023-04-30 14:32:01,1141
2023-04-30 14:37:28,1116
2023-04-30 14:42:55,1092
2023-04-30 14:48:22,1083
2023-04-30 14:53:49,1076
2023-04-30 14:59:16,1058
2023-04-30 15:04:43,1042
2023-04-30 15:10:10,1034
2023-04-30 15:15:37,1021
2023-04-30 15:21:04,1011
2023-04-30 15:26:31,1015
2023-04-30 15:31:58,1098
2023-04-30 15:37:25,1123
2023-04-30 15:42:52,1090
2023-04-30 15:48:19,1097
2023-04-30 15:53:46,1076
2023-04-30 15:59:13,1055
2023-04-30 16:04:40,1036
2023-04-30 16:10:07,997
2023-04-30 16:15:34,1002
2023-04-30 16:21:01,988
2023-04-30 16:26:28,971
2023-04-30 16:31:55,956
2023-04-30 16:37:22,939
2023-04-30 16:42:49,924
2023-04-30 16:48:16,910
2023-04-30 16:53:43,893
2023-04-30 16:59:10,867
2023-04-30 17:04:37,858
2023-04-30 17:10:04,849
2023-04-30 17:15:31,838
2023-04-30 17:20:58,825
2023-04-30 17:26:25,808
2023-04-30 17:31:52,720
2023-04-30 17:37:19,747
2023-04-30 17:42:46,783
2023-04-30 17:48:13,772
2023-04-30 17:53:40,784
2023-04-30 17:59:07,899
2023-04-30 18:04:34,894
2023-04-30 18:10:01,891
2023-04-30 18:15:28,827
2023-04-30 18:20:55,355
