"Time","HLT_mu8_mucombTag_L1MU20VFC"
2023-04-30 09:10:28,0
2023-04-30 10:54:01,0
2023-04-30 10:59:28,145
2023-04-30 11:04:55,747
2023-04-30 11:10:22,1436
2023-04-30 11:15:49,1569
2023-04-30 11:21:16,1083
2023-04-30 11:26:43,892
2023-04-30 11:32:10,867
2023-04-30 11:37:37,1525
2023-04-30 11:43:04,1641
2023-04-30 11:48:31,1215
2023-04-30 11:53:58,1486
2023-04-30 11:59:25,565
2023-04-30 12:04:52,1160
2023-04-30 12:10:19,1555
2023-04-30 12:15:46,1517
2023-04-30 12:21:13,1526
2023-04-30 12:26:40,1373
2023-04-30 12:32:07,1929
2023-04-30 12:37:34,2060
2023-04-30 12:43:01,1935
2023-04-30 12:48:28,1971
2023-04-30 12:53:55,1820
2023-04-30 12:59:22,1861
2023-04-30 13:04:49,1881
2023-04-30 13:10:16,1846
2023-04-30 13:15:43,1799
2023-04-30 13:21:10,1786
2023-04-30 13:26:37,1829
2023-04-30 13:32:04,1911
2023-04-30 13:37:31,1861
2023-04-30 13:42:58,1846
2023-04-30 13:48:25,1818
2023-04-30 13:53:52,1786
2023-04-30 13:59:19,1817
2023-04-30 14:04:46,1887
2023-04-30 14:10:13,1855
2023-04-30 14:15:40,1826
2023-04-30 14:21:07,1766
2023-04-30 14:26:34,1774
2023-04-30 14:32:01,1753
2023-04-30 14:37:28,1721
2023-04-30 14:42:55,1687
2023-04-30 14:48:22,1674
2023-04-30 14:53:49,1666
2023-04-30 14:59:16,1643
2023-04-30 15:04:43,1620
2023-04-30 15:10:10,1612
2023-04-30 15:15:37,1597
2023-04-30 15:21:04,1582
2023-04-30 15:26:31,1591
2023-04-30 15:31:58,1723
2023-04-30 15:37:25,1769
2023-04-30 15:42:52,1724
2023-04-30 15:48:19,1736
2023-04-30 15:53:46,1708
2023-04-30 15:59:13,1681
2023-04-30 16:04:40,1651
2023-04-30 16:10:07,1597
2023-04-30 16:15:34,1608
2023-04-30 16:21:01,1589
2023-04-30 16:26:28,1568
2023-04-30 16:31:55,1547
2023-04-30 16:37:22,1526
2023-04-30 16:42:49,1504
2023-04-30 16:48:16,1484
2023-04-30 16:53:43,1459
2023-04-30 16:59:10,1423
2023-04-30 17:04:37,1411
2023-04-30 17:10:04,1401
2023-04-30 17:15:31,1386
2023-04-30 17:20:58,1368
2023-04-30 17:26:25,1339
2023-04-30 17:31:52,1197
2023-04-30 17:37:19,1246
2023-04-30 17:42:46,1309
2023-04-30 17:48:13,1293
2023-04-30 17:53:40,1319
2023-04-30 17:59:07,1514
2023-04-30 18:04:34,1506
2023-04-30 18:10:01,1505
2023-04-30 18:15:28,1401
2023-04-30 18:20:55,603
