"Time","HLT_mu50_mucombTag_L1MU20VFC"
2023-04-30 09:10:28,0
2023-04-30 10:54:01,0
2023-04-30 10:59:28,6.73
2023-04-30 11:04:55,37.0
2023-04-30 11:10:22,75.7
2023-04-30 11:15:49,87.2
2023-04-30 11:21:16,64.2
2023-04-30 11:26:43,58.9
2023-04-30 11:32:10,62.7
2023-04-30 11:37:37,122
2023-04-30 11:43:04,141
2023-04-30 11:48:31,113
2023-04-30 11:53:58,146
2023-04-30 11:59:25,57.6
2023-04-30 12:04:52,128
2023-04-30 12:10:19,173
2023-04-30 12:15:46,167
2023-04-30 12:21:13,166
2023-04-30 12:26:40,149
2023-04-30 12:32:07,213
2023-04-30 12:37:34,228
2023-04-30 12:43:01,213
2023-04-30 12:48:28,214
2023-04-30 12:53:55,197
2023-04-30 12:59:22,205
2023-04-30 13:04:49,208
2023-04-30 13:10:16,202
2023-04-30 13:15:43,197
2023-04-30 13:21:10,193
2023-04-30 13:26:37,199
2023-04-30 13:32:04,213
2023-04-30 13:37:31,207
2023-04-30 13:42:58,204
2023-04-30 13:48:25,199
2023-04-30 13:53:52,193
2023-04-30 13:59:19,198
2023-04-30 14:04:46,210
2023-04-30 14:10:13,204
2023-04-30 14:15:40,199
2023-04-30 14:21:07,190
2023-04-30 14:26:34,190
2023-04-30 14:32:01,187
2023-04-30 14:37:28,181
2023-04-30 14:42:55,178
2023-04-30 14:48:22,176
2023-04-30 14:53:49,175
2023-04-30 14:59:16,170
2023-04-30 15:04:43,167
2023-04-30 15:10:10,165
2023-04-30 15:15:37,162
2023-04-30 15:21:04,159
2023-04-30 15:26:31,160
2023-04-30 15:31:58,171
2023-04-30 15:37:25,174
2023-04-30 15:42:52,166
2023-04-30 15:48:19,167
2023-04-30 15:53:46,163
2023-04-30 15:59:13,159
2023-04-30 16:04:40,155
2023-04-30 16:10:07,148
2023-04-30 16:15:34,147
2023-04-30 16:21:01,145
2023-04-30 16:26:28,142
2023-04-30 16:31:55,139
2023-04-30 16:37:22,135
2023-04-30 16:42:49,132
2023-04-30 16:48:16,128
2023-04-30 16:53:43,125
2023-04-30 16:59:10,121
2023-04-30 17:04:37,119
2023-04-30 17:10:04,116
2023-04-30 17:15:31,114
2023-04-30 17:20:58,112
2023-04-30 17:26:25,109
2023-04-30 17:31:52,95.5
2023-04-30 17:37:19,99.1
2023-04-30 17:42:46,103
2023-04-30 17:48:13,100
2023-04-30 17:53:40,102
2023-04-30 17:59:07,116
2023-04-30 18:04:34,114
2023-04-30 18:10:01,113
2023-04-30 18:15:28,103
2023-04-30 18:20:55,44.5
