"Time","HLT_mu20_mucombTag_L1MU20VFC"
2023-04-30 09:10:28,0
2023-04-30 10:54:01,0
2023-04-30 10:59:28,18.5
2023-04-30 11:04:55,100
2023-04-30 11:10:22,203
2023-04-30 11:15:49,232
2023-04-30 11:21:16,168
2023-04-30 11:26:43,149
2023-04-30 11:32:10,156
2023-04-30 11:37:37,299
2023-04-30 11:43:04,341
2023-04-30 11:48:31,269
2023-04-30 11:53:58,346
2023-04-30 11:59:25,135
2023-04-30 12:04:52,297
2023-04-30 12:10:19,400
2023-04-30 12:15:46,388
2023-04-30 12:21:13,386
2023-04-30 12:26:40,346
2023-04-30 12:32:07,493
2023-04-30 12:37:34,529
2023-04-30 12:43:01,494
2023-04-30 12:48:28,500
2023-04-30 12:53:55,457
2023-04-30 12:59:22,478
2023-04-30 13:04:49,484
2023-04-30 13:10:16,472
2023-04-30 13:15:43,456
2023-04-30 13:21:10,451
2023-04-30 13:26:37,465
2023-04-30 13:32:04,495
2023-04-30 13:37:31,479
2023-04-30 13:42:58,472
2023-04-30 13:48:25,462
2023-04-30 13:53:52,450
2023-04-30 13:59:19,461
2023-04-30 14:04:46,487
2023-04-30 14:10:13,475
2023-04-30 14:15:40,463
2023-04-30 14:21:07,441
2023-04-30 14:26:34,443
2023-04-30 14:32:01,436
2023-04-30 14:37:28,424
2023-04-30 14:42:55,415
2023-04-30 14:48:22,411
2023-04-30 14:53:49,408
2023-04-30 14:59:16,398
2023-04-30 15:04:43,391
2023-04-30 15:10:10,387
2023-04-30 15:15:37,379
2023-04-30 15:21:04,374
2023-04-30 15:26:31,375
2023-04-30 15:31:58,403
2023-04-30 15:37:25,410
2023-04-30 15:42:52,396
2023-04-30 15:48:19,396
2023-04-30 15:53:46,387
2023-04-30 15:59:13,377
2023-04-30 16:04:40,370
2023-04-30 16:10:07,353
2023-04-30 16:15:34,354
2023-04-30 16:21:01,348
2023-04-30 16:26:28,339
2023-04-30 16:31:55,332
2023-04-30 16:37:22,324
2023-04-30 16:42:49,318
2023-04-30 16:48:16,310
2023-04-30 16:53:43,303
2023-04-30 16:59:10,292
2023-04-30 17:04:37,287
2023-04-30 17:10:04,284
2023-04-30 17:15:31,277
2023-04-30 17:20:58,272
2023-04-30 17:26:25,265
2023-04-30 17:31:52,233
2023-04-30 17:37:19,242
2023-04-30 17:42:46,253
2023-04-30 17:48:13,247
2023-04-30 17:53:40,251
2023-04-30 17:59:07,285
2023-04-30 18:04:34,281
2023-04-30 18:10:01,279
2023-04-30 18:15:28,258
2023-04-30 18:20:55,111
